,alive,alive_perc,dead,dead_perc,mu,sigma,lower_bound,upper_bound
0,10000,1.0,0,0.0,,,,
1,10000,1.0,0,0.0,,,,
2,10000,1.0,0,0.0,,,,
3,9845,0.9845,155,0.015499999999999958,3.0,0.0,3.0,193.5483870967742
4,9495,0.9495,350,0.05049999999999999,3.693069306930693,0.020544388775558965,4.609,78.9009900990099
5,8490,0.849,1005,0.15100000000000002,4.562913907284768,0.01729446859009881,4.934,32.675496688741724
6,8078,0.8078,412,0.19220000000000004,4.870967741935484,0.019121700434909312,6.2848,30.088449531737773
7,7086,0.7086,992,0.2914,5.595744680851064,0.022548361920283103,6.5908,22.617707618393958
8,6715,0.6715,371,0.3285,5.8672754946727546,0.02400826142315017,7.7101999999999995,22.220395738203955
9,5799,0.5799,916,0.42010000000000003,6.550345155915259,0.02740107806876475,7.9709,18.97381575815282
10,5509,0.5509,290,0.44910000000000005,6.773101759073703,0.028584357507923347,8.886700000000001,19.039857492763304
11,4732,0.4732,777,0.5267999999999999,7.396545178435839,0.031942589906389325,9.1017,17.277334851936217
12,4465,0.4465,267,0.5535,7.618608852755195,0.033167293402180116,9.8498,17.298825654923217
13,3850,0.385,615,0.615,8.156747967479676,0.03626161418328512,10.021400000000002,16.294959349593498
14,3621,0.3621,229,0.6379,8.366515127762973,0.03751619825500125,10.6283,16.313528766264305
15,3150,0.315,471,0.685,8.822627737226277,0.040397268387774035,10.7685,15.720437956204378
16,2976,0.2976,174,0.7024,9.000427107061503,0.04158470785054776,11.2637,15.779470387243736
17,2556,0.2556,420,0.7444,9.451773240193445,0.0446919495333319,11.3811,15.28895754970446
18,2410,0.241,146,0.759,9.616205533596839,0.04585755690035091,11.785300000000001,15.331620553359684
19,2091,0.2091,319,0.7908999999999999,9.994689594133265,0.04865893015781107,11.877699999999999,15.017954229358956
20,1963,0.1963,128,0.8037,10.154037576210028,0.049880941385663936,12.2114,15.038944879930321
21,1682,0.1682,281,0.8318,10.520437605193557,0.052768371498790635,12.283100000000001,14.76689107958644
22,1585,0.1585,97,0.8415,10.652762923351158,0.053843559695040566,12.5494,14.79655377302436
23,1360,0.136,225,0.864,10.974305555555556,0.05654807898189074,12.6098,14.594675925925927
24,1280,0.128,80,0.872,11.093807339449542,0.057586187317394545,12.8214,14.616743119266056
25,1107,0.1107,173,0.8893,11.364331496682784,0.0600269682583925,12.8738,14.476329697514899
26,1038,0.1038,69,0.8962,11.47701405936175,0.06107852998509742,13.0476,14.488395447444766
27,881,0.0881,157,0.9119,11.744270205066346,0.0636426451347318,13.0883,14.35277991007786
28,840,0.084,41,0.916,11.817030567685588,0.06436432464495734,13.226999999999999,14.38471615720524
29,738,0.0738,102,0.9262,12.006262146404664,0.0663268674984031,13.260399999999999,14.31699416972576
30,694,0.0694,44,0.9306,12.091338921126153,0.06724202621460823,13.375499999999999,14.328605200945624
31,590,0.059,104,0.9410000000000001,12.300318809776833,0.06955160170764162,13.403599999999999,14.243995749202975
32,549,0.0549,41,0.9451,12.385779282615596,0.07051895477209982,13.495899999999999,14.24463019786266
33,466,0.0466,83,0.9534,12.565240192993496,0.07260440075950533,13.517499999999998,14.178204321376127
34,450,0.045,16,0.955,12.601151832460733,0.07303578442966437,13.5918,14.203246073298429
35,388,0.0388,62,0.9612,12.745630461922596,0.07483429389493167,13.6091,14.158447773616313
